problem,solver,device,repeat,runtime_s
Electromagnetic,FEM,CPU,1,0.0690103730012
Electromagnetic,FEM,CPU,2,0.0687362919853
Electromagnetic,FEM,CPU,3,0.0683575380244
Electromagnetic,FEM,CPU,4,0.0659207540157
Electromagnetic,FEM,CPU,5,0.0705677449878
Electromagnetic,FEM,CPU,6,0.0723039070144
Electromagnetic,FEM,CPU,7,0.0687245900044
Electromagnetic,FEM,CPU,8,0.0691303719941
Electromagnetic,FEM,CPU,9,0.0672679709969
Electromagnetic,FEM,CPU,10,0.0692661300127
Electromagnetic,PI-GNN,CPU,1,0.54439365401
Electromagnetic,PI-GNN,CPU,2,0.569423465
Electromagnetic,PI-GNN,CPU,3,0.543201144028
Electromagnetic,PI-GNN,CPU,4,0.539406423981
Electromagnetic,PI-GNN,CPU,5,0.541964368022
Electromagnetic,PI-GNN,CPU,6,0.553730432002
Electromagnetic,PI-GNN,CPU,7,0.620423454006
Electromagnetic,PI-GNN,CPU,8,0.684940582985
Electromagnetic,PI-GNN,CPU,9,0.56339311201
Electromagnetic,PI-GNN,CPU,10,0.593037262995
Electromagnetic,PI-GNN,CUDA,1,0.163867052994
Electromagnetic,PI-GNN,CUDA,2,0.170162464987
Electromagnetic,PI-GNN,CUDA,3,0.166004502011
Electromagnetic,PI-GNN,CUDA,4,0.167068520997
Electromagnetic,PI-GNN,CUDA,5,0.164479582978
Electromagnetic,PI-GNN,CUDA,6,0.169314182014
Electromagnetic,PI-GNN,CUDA,7,0.165809675993
Electromagnetic,PI-GNN,CUDA,8,0.167971439019
Electromagnetic,PI-GNN,CUDA,9,0.162260758021
Electromagnetic,PI-GNN,CUDA,10,0.166372367996
Thermal,FEM,CPU,1,10.771796816
Thermal,FEM,CPU,2,10.940833317
Thermal,FEM,CPU,3,10.736658754
Thermal,FEM,CPU,4,11.030285497
Thermal,FEM,CPU,5,10.525564141
Thermal,FEM,CPU,6,10.317738881
Thermal,FEM,CPU,7,10.364312899
Thermal,FEM,CPU,8,10.588055428
Thermal,FEM,CPU,9,10.24041321
Thermal,FEM,CPU,10,10.248198489
Thermal,PI-GNN,CPU,1,7.232607265
Thermal,PI-GNN,CPU,2,7.14187067599
Thermal,PI-GNN,CPU,3,7.095552738
Thermal,PI-GNN,CPU,4,7.50395379899
Thermal,PI-GNN,CPU,5,7.33372075402
Thermal,PI-GNN,CPU,6,7.563778043
Thermal,PI-GNN,CPU,7,7.19435347
Thermal,PI-GNN,CPU,8,8.406040139
Thermal,PI-GNN,CPU,9,7.72320694599
Thermal,PI-GNN,CPU,10,7.24846482402
Thermal,PI-GNN,CUDA,1,1.15290868902
Thermal,PI-GNN,CUDA,2,1.156519204
Thermal,PI-GNN,CUDA,3,1.15576880501
Thermal,PI-GNN,CUDA,4,1.157235783
Thermal,PI-GNN,CUDA,5,1.16471663199
Thermal,PI-GNN,CUDA,6,1.16478964299
Thermal,PI-GNN,CUDA,7,1.163756636
Thermal,PI-GNN,CUDA,8,1.16381844599
Thermal,PI-GNN,CUDA,9,1.167695476
Thermal,PI-GNN,CUDA,10,1.173501065
