parameter,value,l2_error
heights,0.03,0.07077676628626442
heights,0.03631578947368421,0.04124526540582775
heights,0.04263157894736842,0.02274726141727814
heights,0.04894736842105263,0.015594210574188987
heights,0.05526315789473684,0.007648926437136689
heights,0.06157894736842105,0.009528297432086262
heights,0.06789473684210526,0.010966360345364889
heights,0.07421052631578948,0.007298483492757611
heights,0.08052631578947368,0.008580215980710864
heights,0.08684210526315789,0.007756375367494643
heights,0.0931578947368421,0.014451811573688751
heights,0.09947368421052631,0.013517026131476415
heights,0.10578947368421052,0.01579538504390425
heights,0.11210526315789474,0.02560003450340718
heights,0.11842105263157894,0.01762988407241506
heights,0.12473684210526316,0.03668510553020448
heights,0.13105263157894737,0.038298654813575514
heights,0.13736842105263158,0.041778971101890355
heights,0.1436842105263158,0.06476762714288066
heights,0.15,0.05393446145611575
diameters,0.015,0.033450212687515815
diameters,0.017368421052631578,0.0219550460025883
diameters,0.019736842105263157,0.00864285721199019
diameters,0.022105263157894735,0.00632865067955555
diameters,0.024473684210526314,0.007478250938998246
diameters,0.026842105263157893,0.00921455370046215
diameters,0.02921052631578947,0.004945198590009797
diameters,0.031578947368421054,0.009625017618215293
diameters,0.03394736842105263,0.011402335672126113
diameters,0.036315789473684204,0.015048563917331786
diameters,0.038684210526315786,0.019772945653862062
diameters,0.04105263157894737,0.03715417036807435
diameters,0.043421052631578944,0.06351587114177235
diameters,0.04578947368421052,0.10215634586068453
diameters,0.0481578947368421,0.1478906492027606
diameters,0.05052631578947368,0.834265175045335
diameters,0.05289473684210526,0.8401949077713731
diameters,0.055263157894736833,0.844830094752123
diameters,0.057631578947368416,0.8517324525783648
diameters,0.06,0.8579111691964024
y_offsets,-0.035,0.039769230362167875
y_offsets,-0.031315789473684214,0.026101966285343697
y_offsets,-0.027631578947368424,0.019467229588649652
y_offsets,-0.023947368421052634,0.0126315284461585
y_offsets,-0.020263157894736844,0.00578915616384076
y_offsets,-0.016578947368421054,0.0054767059849513125
y_offsets,-0.012894736842105264,0.004902415779250601
y_offsets,-0.009210526315789475,0.005186625389631955
y_offsets,-0.005526315789473685,0.006046281528855383
y_offsets,-0.001842105263157895,0.00883981910050454
y_offsets,0.001842105263157895,0.008522644023067103
y_offsets,0.005526315789473685,0.008865031386310375
y_offsets,0.009210526315789475,0.0067917477862371395
y_offsets,0.012894736842105264,0.0056541622632612755
y_offsets,0.016578947368421054,0.006796373281828358
y_offsets,0.020263157894736844,0.004839444599780679
y_offsets,0.023947368421052634,0.006776453113045477
y_offsets,0.027631578947368424,0.013784479391876537
y_offsets,0.031315789473684214,0.02522770033725605
y_offsets,0.035,0.035013365850250305
coil_inner_diameters,0.04,0.016142064522733778
coil_inner_diameters,0.041578947368421056,0.006655884776180918
coil_inner_diameters,0.0431578947368421,0.010645144448816686
coil_inner_diameters,0.04473684210526316,0.008076787422913229
coil_inner_diameters,0.04631578947368421,0.007293497958172513
coil_inner_diameters,0.04789473684210527,0.008537854049364076
coil_inner_diameters,0.04947368421052632,0.010016743825405168
coil_inner_diameters,0.05105263157894737,0.009507444696052197
coil_inner_diameters,0.052631578947368425,0.008171953462765169
coil_inner_diameters,0.05421052631578948,0.010744371472978836
coil_inner_diameters,0.05578947368421053,0.013537145804194564
coil_inner_diameters,0.05736842105263158,0.014073012516747876
coil_inner_diameters,0.05894736842105264,0.009236006939871073
coil_inner_diameters,0.06052631578947369,0.013797774044186027
coil_inner_diameters,0.06210526315789475,0.016941247604542537
coil_inner_diameters,0.06368421052631579,0.014851837258154043
coil_inner_diameters,0.06526315789473686,0.012922584768867526
coil_inner_diameters,0.0668421052631579,0.018262538357678503
coil_inner_diameters,0.06842105263157895,0.02182667241367755
coil_inner_diameters,0.07,0.028453902251572745
