coil_inner_diameter,y_offset,height,diameter,l2_error,source
0.05541459873310192,-0.023642546602729325,0.07143879939350603,0.020035622757488315,0.009969328185020119,interpolation_results.csv
0.05141699460641023,-0.016859571271522315,0.06707502445017927,0.0217721752016549,0.009045349626828146,interpolation_results.csv
0.052336139399825815,-0.006497285388008436,0.05665805517440064,0.024515059021996653,0.009155912682385598,interpolation_results.csv
0.043470896698395926,0.009309522136989816,0.06855491412917321,0.02973860290960618,0.012576716278708794,interpolation_results.csv
0.04510695251551311,0.006629495888770633,0.0848127489120829,0.026650753544882777,0.010756844536926172,interpolation_results.csv
0.05744278645229789,-0.010765997359185958,0.06594609107608237,0.024791339797743586,0.01272534851554696,interpolation_results.csv
0.054149097564583346,0.02047145196374211,0.07657944375971984,0.039580806573896316,0.010032710564883567,interpolation_results.csv
0.04067588023376327,0.013714476744718651,0.05504789293670654,0.023942750955240476,0.007002639259717745,interpolation_results.csv
0.05601757906748735,0.01209918115118748,0.07936164354268962,0.033475885693204296,0.011274875764066295,interpolation_results.csv
0.0425776288293957,0.0248010163165513,0.05237078892057927,0.034916065965093245,0.05295851134098313,interpolation_results.csv
0.040199564442506164,0.007050581087036781,0.08679305024029071,0.027099324923579287,0.008672958427782358,interpolation_results.csv
0.047399191751825755,0.018179767962056455,0.059059730161036036,0.028450480478714915,0.017726170507530545,interpolation_results.csv
0.050794963048301986,-0.019105159294259114,0.08219460225802208,0.022722412800381786,0.010925061566381872,interpolation_results.csv
0.045812097994185716,0.0044800069121190556,0.060509644909252897,0.03723904743993303,0.021714607205402692,interpolation_results.csv
0.05345638437286854,0.019576650472027293,0.0698889689098782,0.03874551268313891,0.012487762090257117,interpolation_results.csv
0.05046481799474502,0.021980568777573636,0.07391536447268321,0.020881167096066956,0.008495384988744307,interpolation_results.csv
0.05994810631465302,-0.009074866038391426,0.07882802424338076,0.036496500999898526,0.0067848517115500755,interpolation_results.csv
0.05713679412926584,0.016285991165698004,0.08371710631676085,0.038574891449709506,0.0064469302306401095,interpolation_results.csv
0.0589198882145488,0.011401353655517914,0.052711120805650005,0.03227213085204919,0.008290343282658017,interpolation_results.csv
0.049657689334328584,-0.004381329535050365,0.08145298001532897,0.028837405938077126,0.010291962137609143,interpolation_results.csv
0.04902147938629925,-0.01275190136571265,0.06314485246155392,0.03550138252823165,0.010829352384295887,interpolation_results.csv
0.041661426565346875,-0.006960403370020057,0.05080358117736986,0.03029590573090979,0.025343273974666198,interpolation_results.csv
0.04665166431437223,-0.023176449115733896,0.061276094680189,0.02780068820058625,0.012893890697904824,interpolation_results.csv
0.05290344729779157,0.003296889565625981,0.06443506666438985,0.022265203894164625,0.008949886965269676,interpolation_results.csv
0.05524529587448827,-0.021616910408966614,0.08745379269277605,0.031070829990778183,0.015109452251600472,interpolation_results.csv
0.05857422522995477,-0.01491258507282564,0.07065566031862988,0.03755326084957816,0.012324964676374074,interpolation_results.csv
0.04431144479079076,0.001205944403580815,0.057628801612684986,0.033056227164162774,0.008766501483582574,interpolation_results.csv
0.04316609207000958,-0.0008491678490664019,0.07495396373320086,0.025646389451877465,0.010332453466058232,interpolation_results.csv
0.04720624556260894,-0.015380377068234094,0.07704768318683386,0.03159280011408791,0.0068247607491090795,interpolation_results.csv
0.048087396224064494,-0.002405011654946103,0.08919598142446945,0.034011997217432796,0.007200646983990181,interpolation_results.csv
0.046932085754653935,0.012589592182189108,0.055687649347249735,0.021292839095197247,0.014341473010305306,extrapolation_results.csv
0.044075966464364645,0.02279237902354502,0.07802667248339,0.035522458883422134,0.010714339079874973,extrapolation_results.csv
0.04022675605938647,-0.0016272941476843591,0.06454979057906028,0.022073214911712234,0.008919844857839998,extrapolation_results.csv
0.054722208466538594,0.019932606890664777,0.07300840587352987,0.020981231873435414,0.008789152990301675,extrapolation_results.csv
0.05427873644198856,-0.013272429911755056,0.0722871948478668,0.039673443345338275,0.018248144177098555,extrapolation_results.csv
0.0519113829989407,0.0206961817100889,0.05272795654337441,0.028069525858128525,0.01264853923371275,extrapolation_results.csv
0.052540303382422396,-0.011753952678399637,0.07544311880997676,0.02938712760052569,0.00815746525947798,extrapolation_results.csv
0.04121889976589606,-0.003539004265672184,0.08657057637587678,0.021724626791807,0.010437135123888577,extrapolation_results.csv
0.044500563421271976,-0.000606412436617576,0.05193685168267337,0.02882318455081599,0.015405722890460867,extrapolation_results.csv
0.04251844739217317,0.015522157282780912,0.05001826951402692,0.030020622315940684,0.016548209263872144,extrapolation_results.csv
0.04573597042944531,-0.005265160722495093,0.07448472881283277,0.026061137630794706,0.00783158205389305,extrapolation_results.csv
0.04102488853190565,-0.008819226913082873,0.08414666203625083,0.03831731395466137,0.02111442251051043,extrapolation_results.csv
